id_proyecto,anio_inicio,tipo_intervencion,longitud_km,redes_humedas,puentes_peatonales,area_intervenida_m2,num_sumideros,num_luminarias,presupuesto_inicial_mcop,plazo_previsto_meses,costo_final_mcop,plazo_real_meses,num_otrosi,estado,observacion
COR-01,2019,Construccion,3.7,Si,0,30796,161,118,119275,28,152771,37,7,Terminado,
COR-02,2017,Mixta,4.2,No,0,57956,238,177,99310,30,116289,34,5,Terminado,
COR-03,2023,Construccion,3.3,Si,0,35385,174,146,131009,28,169279,35,8,Terminado,
COR-04,2018,Construccion,2.2,Si,0,30216,136,101,92494,20,111416,24,6,Terminado,
COR-05,2022,Construccion,1.1,Si,1,14001,64,51,45939,15,53453,17,5,Terminado,
COR-06,2019,Construccion,4.2,No,0,52615,274,129,147653,30,165092,31,3,Terminado,
COR-07,2019,Construccion,3.6,No,0,44643,205,158,129280,29,143798,31,3,Terminado,
COR-08,2016,Mixta,1.8,Si,0,23405,90,65,51757,19,64354,24,7,Terminado,
COR-09,2018,Mixta,3.7,Si,0,46448,160,138,102739,28,170267,46,18,Terminado,Hallazgo arqueologico; suspension de 4 meses
COR-10,2016,Construccion,1.9,No,0,23441,113,58,66104,20,75590,22,4,Terminado,
COR-11,2021,Mixta,4.3,Si,0,50018,187,164,99542,33,121316,39,7,Terminado,
COR-12,2017,Mixta,1,No,0,10643,44,34,24047,16,,,,En ejecucion,
COR-13,2019,Construccion,2.8,Si,1,31597,135,127,98053,24,117656,29,6,Terminado,
COR-14,2021,Construccion,1.5,No,0,15849,83,52,46281,17,52581,18,4,Terminado,
COR-15,2019,Mixta,2.2,No,0,28239,131,68,51781,19,57002,20,3,Terminado,
COR-16,2022,Construccion,4.3,Si,0,46913,226,178,174808,32,222278,38,9,Terminado,
COR-17,2018,Mixta,3.2,No,0,43971,194,149,81712,27,91119,31,3,Terminado,
COR-18,2022,Construccion,3.4,Si,0,33455,153,100,115049,28,146581,36,8,Terminado,
COR-19,2016,Construccion,1.8,Si,1,19200,105,53,66210,17,79476,20,6,Terminado,
COR-20,2016,Rehabilitacion,1.7,No,0,17699,102,58,20916,20,23075,23,3,Terminado,
COR-21,2019,Construccion,3.7,No,0,48296,242,135,111203,28,128671,34,5,Terminado,
COR-22,2020,Construccion,3.7,No,0,34521,201,153,141072,30,169750,34,6,Terminado,
COR-23,2016,Mixta,2.3,Si,1,23563,104,96,61982,22,100532,34,17,Terminado,Red matriz no identificada en estudios previos
COR-24,2017,Mixta,2.3,Si,0,26733,111,94,67717,22,82424,26,7,Terminado,
COR-25,2016,Mixta,1.9,Si,0,15461,112,80,54438,19,64032,22,5,Terminado,
COR-26,2016,Mixta,1.2,No,1,16239,73,50,32120,16,37054,19,5,Terminado,
COR-27,2017,Mixta,3.6,Si,1,46148,182,114,111646,28,,,,En ejecucion,
COR-28,2021,Rehabilitacion,3.6,No,0,42609,166,163,46982,27,48944,29,1,Terminado,
COR-29,2019,Construccion,3,Si,0,38289,177,134,96867,25,120825,29,7,Terminado,
COR-30,2023,Rehabilitacion,2.2,Si,0,17631,129,69,28815,21,34697,26,6,Terminado,
COR-31,2020,Rehabilitacion,4.2,Si,0,48649,260,149,65930,31,77624,37,5,Terminado,
COR-32,2019,Construccion,4.4,No,1,48946,256,140,159939,30,179929,35,3,Terminado,
COR-33,2016,Construccion,2.1,Si,0,26095,123,68,82650,21,105026,27,8,Terminado,
COR-34,2020,Mixta,1.2,No,1,14561,75,52,30026,16,32329,17,2,Terminado,
COR-35,2016,Mixta,1.6,Si,0,17585,71,72,39809,19,49804,24,7,Terminado,
COR-36,2023,Rehabilitacion,1.6,Si,1,14615,79,50,26486,18,,,,En ejecucion,
COR-37,2022,Construccion,2.3,Si,0,21099,104,81,82441,23,101321,28,7,Terminado,
COR-38,2023,Construccion,2.7,Si,1,31250,153,111,95997,25,121819,30,7,Terminado,
COR-39,2023,Construccion,2.6,No,0,24165,152,80,88784,24,93893,24,3,Terminado,
COR-40,2021,Construccion,1.1,No,0,10845,52,41,33829,14,35550,14,3,Terminado,
