id_elemento,categoria,tipo,abscisa,codigo_clasificacion,material,dimension_mm,fecha_instalacion,ficha_mantenimiento,estado_revision,responsable,observacion
SUM-001,Sumidero,Sumidero lateral SL-100,K0+012,EI-2010-05,Concreto,600,2025-03-14,FM-10441,Aprobado,Consorcio Via Norte,
SUM-002,Sumidero,Sumidero lateral SL-100,K0+048,EI-2010-05,Concreto,600,2025-03-14,FM-10442,Aprobado,Consorcio Via Norte,
SUM-003,Sumidero,Sumidero lateral SL-100,K0+081,EI-2010-05,Concreto,600,14/03/2025,,Observado,Consorcio Via Norte,Sin ficha asociada en la entrega
SUM-004,Sumidero,Sumidero transversal ST-120,K0+097,EI-2010-06,Concreto,800,2025-03-18,FM-10443,Aprobado,Consorcio Via Norte,
SUM-005,SUMIDERO,Sumidero lateral SL-100,K0+126,EI-2010-05,,600,2025-03-18,N/D,Observado,Consorcio Via Norte,Material sin diligenciar
SUM-006,Sumidero,Sumidero lateral SL-100,K0+154,EI-2010-05,Concreto,600,2025-03-19,FM-10444,Aprobado,Consorcio Via Norte,
SUM-007,Sumidero,Sumidero lateral SL-100,K0+188,EI-2010-05,Concreto,600,2025-03-19,,Observado,Consorcio Via Norte,
SUM-008,Sumidero,Sumidero transversal ST-120,K0+205,EI-2010-06,Concreto,800,marzo 2025,PENDIENTE,Observado,Consorcio Via Norte,Fecha sin formato normalizado
SUM-009,Sumidero,Sumidero lateral SL-100,K0+233,EI-2010-05,Concreto,600,2025-03-21,FM-10445,Aprobado,Consorcio Via Norte,
SUM-010,Sumidero,Sumidero lateral SL-100,K0+261,EI-2010-05,Concreto,600,2025-03-21,FM-10446,Aprobado,Consorcio Via Norte,
SUM-011,Sumidero,Sumidero lateral SL-100,K0+294,,Concreto,600,2025-03-24,,Observado,Consorcio Via Norte,Sin codigo de clasificacion
SUM-012,Sumidero,Sumidero lateral SL-100,K0+322,EI-2010-05,Concreto,600,2025-03-24,FM-10447,Aprobado,Consorcio Via Norte,
SUM-013,Sumidero,Sumidero transversal ST-120,K0+349,EI-2010-06,Concreto,80,2025-03-25,FM-10448,Aprobado,Consorcio Via Norte,Dimension aparentemente en cm
SUM-014,Sumidero,Sumidero lateral SL-100,K0+377,EI-2010-05,Concreto,600,2025-03-25,N/D,Observado,Consorcio Via Norte,
SUM-014,Sumidero,Sumidero lateral SL-100,K0+377,EI-2010-05,Concreto,600,2025-03-25,N/D,Observado,Consorcio Via Norte,Registro repetido en el export
SUM-015,sumidero ,Sumidero lateral SL-100,K0+404,EI-2010-05,Concreto,600,2025-03-26,,Observado,Consorcio Via Norte,
SUM-016,Sumidero,Sumidero lateral SL-100,K0+438,EI-2010-05,Concreto,600,2025-03-26,FM-10449,Aprobado,Consorcio Via Norte,
SUM-017,Sumidero,Sumidero lateral SL-100,K0+466,EI-2010-05,Concreto,600,2025-03-27,FM-10450,Aprobado,Consorcio Via Norte,
SUM-018,SUMIDERO,Sumidero transversal ST-120,K0+493,EI-2010-06,Concreto,800,2025-03-27,PENDIENTE,Observado,Consorcio Via Norte,
SUM-019,Sumidero,Sumidero lateral SL-100,K0+521,EI-2010-05,Concreto,600,2025-03-28,FM-10451,Aprobado,Consorcio Via Norte,
SUM-020,Sumidero,Sumidero lateral SL-100,K0+558,EI-2010-05,Concreto,600,2025-03-28,,Observado,Consorcio Via Norte,
SUM-021,Sumidero,Sumidero lateral SL-100,K0+586,EI-2010-05,Concreto,600,2025-03-31,FM-10452,Aprobado,Consorcio Via Norte,
SUM-022,Sumidero,Sumidero lateral SL-100,K0+619,EI-2010-05,Concreto,600,2025-03-31,N/D,Observado,Consorcio Via Norte,
SUM-023,Sumidero,Sumidero transversal ST-120,K0+647,EI-2010-06,Concreto,800,2025-04-01,FM-10453,Aprobado,Consorcio Via Norte,
SUM-024,Sumidero,Sumidero lateral SL-100,K0+688,EI-2010-05,Concreto,600,2025-04-01,,Observado,Consorcio Via Norte,
